instrument_token,last_price,symbol,timestamp
3045,799.15,NSE:SBIN,2025-06-26 09:35:08.360627
3045,799.25,NSE:SBIN,2025-06-26 09:35:13.409971
3045,799.25,NSE:SBIN,2025-06-26 09:35:18.493309
3045,798.75,NSE:SBIN,2025-06-26 09:35:23.549943
3045,798.85,NSE:SBIN,2025-06-26 09:35:28.598442
3045,798.7,NSE:SBIN,2025-06-26 09:35:33.647133
3045,798.7,NSE:SBIN,2025-06-26 09:35:38.760458
3045,798.5,NSE:SBIN,2025-06-26 09:35:43.804681
3045,798.8,NSE:SBIN,2025-06-26 09:35:48.849721
3045,798.7,NSE:SBIN,2025-06-26 09:35:53.896583
3045,798.75,NSE:SBIN,2025-06-26 09:35:58.945115
3045,798.8,NSE:SBIN,2025-06-26 09:36:04.075151
3045,798.7,NSE:SBIN,2025-06-26 09:36:09.131200
3045,798.8,NSE:SBIN,2025-06-26 09:36:14.175417
3045,798.5,NSE:SBIN,2025-06-26 09:36:19.222131
3045,798.3,NSE:SBIN,2025-06-26 09:36:24.331275
3045,798.5,NSE:SBIN,2025-06-26 09:36:29.378626
3045,798.45,NSE:SBIN,2025-06-26 09:36:34.528150
3045,798.15,NSE:SBIN,2025-06-26 09:36:39.628378
3045,798.3,NSE:SBIN,2025-06-26 09:36:44.704413
3045,798.15,NSE:SBIN,2025-06-26 09:36:49.771170
3045,798.3,NSE:SBIN,2025-06-26 09:36:54.855180
3045,798.4,NSE:SBIN,2025-06-26 09:36:59.900731
3045,798.25,NSE:SBIN,2025-06-26 09:37:05.015778
3045,798.3,NSE:SBIN,2025-06-26 09:37:10.062518
3045,798.05,NSE:SBIN,2025-06-26 09:37:15.108399
3045,798.3,NSE:SBIN,2025-06-26 09:37:20.168221
3045,798.35,NSE:SBIN,2025-06-26 09:37:25.215807
3045,798.15,NSE:SBIN,2025-06-26 09:37:30.262261
3045,798.35,NSE:SBIN,2025-06-26 09:37:35.374224
3045,798.35,NSE:SBIN,2025-06-26 09:37:40.528290
3045,798.4,NSE:SBIN,2025-06-26 09:37:45.574587
3045,798.25,NSE:SBIN,2025-06-26 09:37:50.616984
3045,798.2,NSE:SBIN,2025-06-26 09:37:55.663954
3045,798.4,NSE:SBIN,2025-06-26 09:38:00.712306
3045,798.4,NSE:SBIN,2025-06-26 09:38:05.817913
3045,798.4,NSE:SBIN,2025-06-26 09:38:10.863135
3045,798.45,NSE:SBIN,2025-06-26 09:38:15.910349
